Cash Account,Expenditure Account, ,FYTD Appropriated,Prior Yr Enc,FYTD Expendable,FYTD Expended,MTD Expended,Encumbrance,Future Enc,FYTD Unencumbered,% Exp/Enc,Fund,Func,Function One Digit Level,Function Two Digit Level,Object,Object Level,SCC,Subject,Subject Two Digit Level,OPU,Opu One Digit Level,Job,IL
001-0000,001-2850-660-0000-000000-000-00-000,PUPIL TRANSPORTATION - BUS,76445.00,0.00,76445.00,0,0,0.00,0,76445.00,0,001,2850,2000,2800,660,600,0000,000000,000000,000,000,000,00
001-0000,001-2932-449-0000-000000-000-00-000,NEWSLETTER/WEBSITE,4063.88,0.00,4063.88,3056.40,600.00,943.60,0,63.88,98.4281031900,001,2932,2000,2900,449,400,0000,000000,000000,000,000,000,00
001-0000,001-4190-113-0000-000000-000-00-000,ACADEMIC SUPPLEMENTALS CERTIFIED,45547.94,0.00,45547.94,5995.85,0,0.00,0,39552.09,13.1638225600,001,4190,4000,4100,113,100,0000,000000,000000,000,000,000,00
001-0000,001-4190-143-0000-000000-000-00-000,CLASSIFIED ACADEMIC ORIENTED SUPPLEMENTAL,6020.54,0.00,6020.54,866.52,0,0.00,0,5154.02,14.3927288900,001,4190,4000,4100,143,100,0000,000000,000000,000,000,000,00
001-0000,001-4190-211-0000-000000-000-00-000,SUPPLEMENTAL STRS,5808.00,0.00,5808.00,4392.00,549.00,0.00,0,1416.00,75.6198347100,001,4190,4000,4100,211,200,0000,000000,000000,000,000,000,00
001-0000,001-4190-212-0000-000000-000-00-000,SUPPLEMENTAL STRS PICKUP,455.47,0.00,455.47,19.93,0,0.00,0,435.54,4.3756998300,001,4190,4000,4100,212,200,0000,000000,000000,000,000,000,00
001-0000,001-4190-249-0000-000000-000-00-000,ADADEMIC SUPPLEMENTAL MEDICARE,639.53,0.00,639.53,81.94,0,0.00,0,557.59,12.8125342000,001,4190,4000,4100,249,200,0000,000000,000000,000,000,000,00
001-0000,001-4190-259-0000-000000-000-00-000,CLASSIFIED ACADEMIC ORIENTED OTHER,86.15,0.00,86.15,12.56,0,0.00,0,73.59,14.5792222900,001,4190,4000,4100,259,200,0000,000000,000000,000,000,000,00
001-0000,001-4590-113-0000-000000-000-00-000,SPORTS SUPPLEMENTALS CERTIFIED,64926.93,0.00,64926.93,16542.47,0,0.00,0,48384.46,25.4785957100,001,4590,4000,4500,113,100,0000,000000,000000,000,000,000,00
001-0000,001-4590-143-0000-000000-000-00-000,SPORTS SUPPLEMENTALS CLASSIFIED,174041.20,0.00,174041.20,68641.83,0,0.00,0,105399.37,39.4399889200,001,4590,4000,4500,143,100,0000,000000,000000,000,000,000,00
001-0000,001-4590-211-0000-000000-000-00-000,SPORTS SUPPLEMENTAL STRS,10140.00,0.00,10140.00,6264.00,783.00,0.00,0,3876.00,61.7751479300,001,4590,4000,4500,211,200,0000,000000,000000,000,000,000,00
001-0000,001-4590-212-0000-000000-000-00-000,SPORTS SUPPLEMENTAL STRS PICKUP,541.84,0.00,541.84,33.40,0,0.00,0,508.44,6.1641813100,001,4590,4000,4500,212,200,0000,000000,000000,000,000,000,00
001-0000,001-4590-221-0000-000000-000-00-000,SPORTS SUPPLEMENTAL SERS,20112.00,0.00,20112.00,15072.00,1884.00,1884.00,0,3156.00,84.3078758900,001,4590,4000,4500,221,200,0000,000000,000000,000,000,000,00
001-0000,001-4590-249-0000-000000-000-00-000,SPORTS SUPP MEDICARE CERTIFIED,923.69,0.00,923.69,234.39,0,0.00,0,689.30,25.3753965100,001,4590,4000,4500,249,200,0000,000000,000000,000,000,000,00
001-0000,001-4590-259-0000-000000-000-00-000,SPORTS SUPP MEDICARE CLASSIFIED,2533.76,0.00,2533.76,3047.39,476.91,0.00,246.98,-513.63,120.2714542800,001,4590,4000,4500,259,200,0000,000000,000000,000,000,000,00
001-0000,001-4590-413-0000-000000-000-00-000,ATHLETIC TRAINER,16980.00,0.00,16980.00,8332.50,1720.00,7167.50,0,1480.00,91.2838633700,001,4590,4000,4500,413,400,0000,000000,000000,000,000,000,00
001-0000,001-5200-630-0000-000000-000-00-000,IMPROVEMENTS OTHER THAN BUILDINGS,294193.43,0.00,294193.43,0,0,0.00,0,294193.43,0,001,5200,5000,5200,630,600,0000,000000,000000,000,000,000,00
001-0000,001-7200-911-0000-000000-000-00-000,TRANSFERS-OUT,1000000.00,0.00,1000000.00,0,0,0.00,0,1000000.00,0,001,7200,7000,7200,911,900,0000,000000,000000,000,000,000,00
